,age,policy_number,policy_csl,insured_zip,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,auto_year,fraud_reported,policy_bind_year,policy_bind_month,policy_bind_day,policy_bind_dow,incident_year,incident_month,incident_day,incident_dow,policy_state_IN,policy_state_OH,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,incident_city_Columbus,incident_city_Hillsdale,incident_city_Northbend,incident_city_Northbrook,incident_city_Riverwood,incident_city_Springfield,property_damage_YES,police_report_available_YES,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen,auto_model_92x,auto_model_93,auto_model_95,auto_model_A3,auto_model_A5,auto_model_Accord,auto_model_C300,auto_model_CRV,auto_model_Camry,auto_model_Civic,auto_model_Corolla,auto_model_E400,auto_model_Escape,auto_model_F150,auto_model_Forrestor,auto_model_Fusion,auto_model_Grand Cherokee,auto_model_Highlander,auto_model_Impreza,auto_model_Jetta,auto_model_Legacy,auto_model_M5,auto_model_MDX,auto_model_ML350,auto_model_Malibu,auto_model_Maxima,auto_model_Neon,auto_model_Passat,auto_model_Pathfinder,auto_model_RAM,auto_model_RSX,auto_model_Silverado,auto_model_TL,auto_model_Tahoe,auto_model_Ultima,auto_model_Wrangler,auto_model_X5,auto_model_X6,premium_per_vehicle,total_claim_amount_per_vehicle,age_group_19-25,age_group_26-35,age_group_36-45,age_group_46-55,age_group_56-65,age_group_65+,months_as_customer^2,months_as_customer policy_deductable,months_as_customer policy_annual_premium,months_as_customer umbrella_limit,months_as_customer capital-gains,months_as_customer capital-loss,months_as_customer total_claim_amount,months_as_customer injury_claim,months_as_customer property_claim,months_as_customer vehicle_claim,months_as_customer days_between_policy_and_incident,policy_deductable^2,policy_deductable policy_annual_premium,policy_deductable umbrella_limit,policy_deductable capital-gains,policy_deductable capital-loss,policy_deductable total_claim_amount,policy_deductable injury_claim,policy_deductable property_claim,policy_deductable vehicle_claim,policy_deductable days_between_policy_and_incident,policy_annual_premium^2,policy_annual_premium umbrella_limit,policy_annual_premium capital-gains,policy_annual_premium capital-loss,policy_annual_premium total_claim_amount,policy_annual_premium injury_claim,policy_annual_premium property_claim,policy_annual_premium vehicle_claim,policy_annual_premium days_between_policy_and_incident,umbrella_limit^2,umbrella_limit capital-gains,umbrella_limit capital-loss,umbrella_limit total_claim_amount,umbrella_limit injury_claim,umbrella_limit property_claim,umbrella_limit vehicle_claim,umbrella_limit days_between_policy_and_incident,capital-gains^2,capital-gains capital-loss,capital-gains total_claim_amount,capital-gains injury_claim,capital-gains property_claim,capital-gains vehicle_claim,capital-gains days_between_policy_and_incident,capital-loss^2,capital-loss total_claim_amount,capital-loss injury_claim,capital-loss property_claim,capital-loss vehicle_claim,capital-loss days_between_policy_and_incident,total_claim_amount^2,total_claim_amount injury_claim,total_claim_amount property_claim,total_claim_amount vehicle_claim,total_claim_amount days_between_policy_and_incident,injury_claim^2,injury_claim property_claim,injury_claim vehicle_claim,injury_claim days_between_policy_and_incident,property_claim^2,property_claim vehicle_claim,property_claim days_between_policy_and_incident,vehicle_claim^2,vehicle_claim days_between_policy_and_incident,days_between_policy_and_incident^2
207,29.0,598124,1500,441726,7644 Tree Ridge,14,3,0,3,2005,N,1993,9,20,0,2015,2,25,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3907365551048714,3.728145095596877,0,1,0,0,0,0,15376.0,62000.0,889.353998499012,0.0,0.0,0.0,1386.8699755620382,1101.3649228468596,1101.3649228468596,1359.2006057479045,970672.0,250000.0,3586.104832657307,0.0,0.0,0.0,5592.2176433953155,4440.987592124434,4440.987592124434,5480.647603822196,3914000.0,51.44059148323236,0.0,0.0,0.0,80.21711486500558,63.703388263554274,63.703388263554274,78.61670743263386,56144.057260082795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.09159268440742,99.33987666711175,99.33987666711175,122.59589690930697,87551.75942499706,78.8894831736127,78.8894831736127,97.35795202152353,69528.10174230013,78.8894831736127,97.35795202152353,69528.10174230013,120.14999262912792,85805.0188854403,61277584.0
208,48.0,436126,750,473412,3167 2nd St,13,4,2,3,2003,N,2009,11,3,1,2015,1,8,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820267256768304,2.7708085651090255,0,0,0,1,0,0,117649.0,171500.0,2497.406676286113,1029000000.0,0.0,0.0,3801.549351329583,3047.943488034008,3285.6692528178737,3662.477454821028,648956.0,250000.0,3640.534513536608,1500000000.0,0.0,0.0,5541.617130218051,4443.066309087476,4789.605324807396,5338.888418106455,946000.0,53.01396617700491,21843207.081219647,0.0,0.0,80.69779369345802,64.70054497665866,69.74689396472016,77.74563020014966,13775.782599222524,9000000000000.0,0.0,0.0,33249702.781308305,26658397.854524855,28737631.948844377,32033330.508638732,5676000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.83808167170459,98.48708947653537,106.16863565974504,118.34430205640594,20969.479220745106,78.96335290779281,85.12213620991086,94.88414103386448,16812.562913587008,91.76127666969344,102.28467358366085,18123.866549071186,114.01491816396499,20202.353774114825,3579664.0
209,53.0,739447,750,466201,3327 Lincoln Drive,8,1,0,1,2002,N,2014,12,10,2,2015,1,14,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6439720082012315,9.082620630373812,0,0,0,1,0,0,163216.0,202000.0,2684.1646913132977,0.0,10302000.0,-14826800.0,3669.37873467102,3019.349391832467,2739.5472808782165,3525.3017299298867,14140.0,250000.0,3321.986004100616,0.0,12750000.0,-18350000.0,4541.310315186906,3736.818554248103,3390.52881296809,4362.997190507285,17500.0,44.142364045761504,0.0,169421.28620913142,-243833.7727009852,60.344677229314634,49.65463574830278,45.05315705271948,57.975262411182044,232.53902028704312,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,650250000.0,-935850000.0,231606.8260745322,190577.74626665324,172916.9694613726,222512.85671587157,892500.0,1346890000.0,-333332.1771347189,-274282.48188181076,-248864.81487185782,-320243.99378323474,-1284500.0,82.49399751529198,67.88021058555492,61.58977388908161,79.25489658552891,317.8917220630834,55.855251629491526,50.67916390804782,65.21491541447988,261.57729879736723,45.982742526267224,59.17147074125511,237.3370169077663,76.14297793749786,305.40980333551,1225.0
210,24.0,427484,750,469621,8621 Best Ridge,7,1,2,0,2015,N,1994,1,8,5,2015,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3913474148664,8.71948076085107,1,0,0,0,0,0,3969.0,126000.0,465.65488713658317,0.0,0.0,0.0,549.3272879336174,436.4978825443739,436.4978825443739,523.7881321305658,484848.0,4000000.0,14782.6948297328,0.0,0.0,0.0,17438.961521702142,13857.075636329331,13857.075636329331,16628.194670811612,15392000.0,54.63201660725221,0.0,0.0,0.0,64.44871158069387,51.21123009109548,51.21123009109548,61.45238184699933,56883.809704811814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.02934473885196,60.413252206315846,60.413252206315846,72.49461175991408,67105.12393550984,48.00463629773798,48.00463629773798,57.604537812261206,53322.027048595264,48.00463629773798,57.604537812261206,53322.027048595264,69.12421450260193,63985.293093283086,59228416.0
211,37.0,218684,1500,466676,3878 Tree Lane,9,1,1,2,1999,N,2006,8,5,5,2015,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.956031025147027,8.865170419651774,0,0,1,0,0,0,44100.0,420000.0,1460.7665152808756,0.0,12579000.0,0.0,1861.6857881268725,1485.5645314014462,1340.1813636552806,1801.2824382887036,645750.0,4000000.0,13912.062050294055,0.0,119800000.0,0.0,17730.340839303546,14148.233632394724,12763.632034812197,17155.070840844797,6150000.0,48.386367622808,0.0,416666.2584063069,0.0,61.66640048231343,49.20777604898316,44.39211021385706,59.66560250375575,21389.79540232711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588010000.0,0.0,531023.7081371412,423739.597290222,382270.7794426253,513794.37168330164,184192500.0,0.0,0.0,0.0,0.0,0.0,0.0,78.59124656946881,62.71325114411404,56.57588658116843,76.04131328264398,27260.399040429205,50.0431287292063,45.14571200661016,60.6784875591386,21752.90920980689,40.72757568002103,54.74025293591981,19624.084253523753,73.57411388860085,26375.921417798876,9455625.0
212,50.0,565564,400,615346,9760 Solo Lane,12,3,2,3,2009,N,2007,2,7,2,2015,1,24,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4463523534802243,3.481170896902182,0,0,0,1,0,0,112225.0,335000.0,2458.584115247625,2010000000.0,20837000.0,-10519000.0,3498.576751386693,3034.1974214953857,2802.0321534721606,3341.1313920108946,974180.0,1000000.0,7339.057060440672,6000000000.0,62200000.0,-31400000.0,10443.512690706546,9057.305735807122,8364.275084991525,9973.526543316102,2908000.0,53.86175853640408,44034342.36264403,456489.3491594098,-230446.39169783713,76.64553554853164,66.47208360894506,61.385892117975054,73.1962803952165,21341.977931761474,36000000000000.0,373200000000.0,-188400000000.0,62661076.14423928,54343834.414842725,50185650.50994915,59841159.25989661,17448000000.0,3868840000.0,-1953080000.0,649586.4893619472,563364.4167672029,520257.9102864728,620353.3509942616,180877600.0,985960000.0,-327926.29848818557,-284399.4001043436,-262638.23766873387,-313168.73346012563,-91311200.0,109.06695732094869,94.59008739551086,87.35241299866956,104.15865102622031,30369.734904574638,82.03478719188458,75.75779670316233,90.3332791670015,26338.64507972711,69.96109769740997,83.42131957576052,24323.31194715535,99.47123171023085,29003.01518796323,8456464.0
213,40.0,743163,1500,440106,9138 1st St,6,3,1,0,2004,Y,2001,4,9,0,2015,1,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.368510596776984,3.628902565030741,0,0,1,0,0,0,121.0,22000.0,78.16084969364047,0.0,264000.0,0.0,119.75378464601445,101.00248150103177,101.00248150103177,114.78206585990851,55440.0,4000000.0,14211.063580661903,0.0,48000000.0,0.0,21773.415390184447,18364.087545642138,18364.087545642138,20869.466519983365,10080000.0,50.48858202340378,0.0,170532.76296794284,0.0,77.3558476195184,65.24330392799047,65.24330392799047,74.14432890249464,35811.880223267995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576000000.0,0.0,261280.98468221337,220369.05054770567,220369.05054770567,250433.5982398004,120960000.0,0.0,0.0,0.0,0.0,0.0,0.0,118.52040443838023,99.96222659824477,99.96222659824477,113.59989087778621,54869.006783264806,84.30992784600218,84.30992784600218,95.81217755095552,46277.50061501819,84.30992784600218,95.81217755095552,46277.50061501819,108.88365820717665,52591.05563035808,25401600.0
214,33.0,604614,400,450332,3414 Elm Ave,11,1,1,3,2009,Y,1995,2,17,4,2015,1,21,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.217912873949087,11.306651321699022,0,1,0,0,0,0,20164.0,284000.0,1024.9436281007704,710000000.0,0.0,0.0,1605.544487681261,1252.7069405011055,1351.123369322488,1564.6942151612325,1033476.0,4000000.0,14435.825747898174,10000000000.0,0.0,0.0,22613.302643398045,17643.759725367683,19029.906610175887,22037.946692411726,14556000.0,52.098266255919974,36089564.36974544,0.0,0.0,81.61042413614483,63.67556023329791,68.6781039558187,79.53398957328115,52531.969896601455,25000000000000.0,0.0,0.0,56533256.60849511,44109399.31341921,47574766.525439724,55094866.73102932,36390000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.84036411047823,99.74591960928424,107.58225936287708,124.58768954864482,82289.80831932549,77.82556431162668,83.9397749565324,97.2080590703435,64205.641640613,90.534336398004,104.84501685915744,69249.83015443006,121.41777360439524,80196.08801368627,52969284.0
215,43.0,509928,400,615226,3172 Tree Ridge,5,3,1,2,2006,Y,1995,7,25,1,2015,2,6,4,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3849056380855136,3.7676935309749324,0,0,1,0,0,0,73984.0,272000.0,1946.0830006777792,0.0,0.0,0.0,3074.437921275545,2422.243955843486,2610.76153764486,2987.8197645648243,1940992.0,1000000.0,7154.716914256541,0.0,0.0,0.0,11303.080592924796,8905.308661189289,9598.388006047278,10984.631487370678,7136000.0,51.189974123148644,0.0,0.0,0.0,80.8703419014039,63.71496250488627,68.67374901646357,78.59192869956597,51056.05990013468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.75963089015318,100.65742150229374,108.49135319451513,124.16017498533014,80658.78311111135,79.30452235105295,85.47660784370821,97.82153392445467,63548.28260624676,92.12905231463225,105.43475511922799,68494.09681115337,120.66212891333534,78386.33029387715,50922496.0
216,26.0,593390,400,437688,6104 Oak Ave,14,1,2,2,2008,N,2006,3,24,4,2015,1,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.830571813111462,11.052808798233297,0,1,0,0,0,0,4761.0,138000.0,471.30945510469087,0.0,0.0,0.0,762.6438070780974,591.1972717194257,639.0178691777719,742.7941084574875,221559.0,4000000.0,13661.143626222924,0.0,0.0,0.0,22105.617596466593,17136.152803461613,18522.257077616578,21530.264013260505,6422000.0,46.6567112940728,0.0,0.0,0.0,75.49700423292273,58.52486116224792,63.25880355478603,73.53200724891263,21932.966091900904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.16458233030338,94.70131023698535,102.36148299530973,118.98494575702573,35490.56905112712,73.41193322589632,79.35005688675899,92.23647350752567,27512.09332595762,85.76850181232933,99.69727125064198,29737.483738113413,115.8880671201751,34566.838873289744,10310521.0
217,28.0,970607,750,437387,9742 5th Ridge,17,1,2,1,2004,N,1995,3,28,1,2015,2,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.9279891858129465,8.881975184248867,0,1,0,0,0,0,1444.0,38000.0,263.26358906089195,0.0,0.0,-1508600.0,337.51505700145697,276.37751864798184,250.06428721682806,323.96367065514,275842.0,1000000.0,6927.989185812947,0.0,0.0,-39700000.0,8881.975184248868,7273.092595999522,6580.639137284949,8525.35975408263,7259000.0,47.99703415874114,0.0,0.0,-275041.170676774,61.53422802513511,50.3879068525009,45.59059677884757,59.06360018144939,50290.273499816176,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1576090000.0,-352614.41481468006,-288741.77606118104,-261251.3737502125,-338456.78223708045,-288182300.0,78.8894831736127,64.59942795041192,58.4490735138618,75.72203377255596,64474.25786246253,52.897875909983064,47.86159778633185,62.00573090565069,52795.379154360526,43.3048114551664,56.102316057150155,47768.85949755145,72.68175893653186,61885.586454885815,52693081.0
218,46.0,174701,1500,458139,8782 3rd St,0,1,2,3,1998,Y,1996,6,19,2,2015,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1820481143149015,11.160399046843542,0,0,0,1,0,0,107584.0,164000.0,2355.7117814952876,0.0,8134400.0,0.0,3660.6108873646817,3101.4745108592024,2874.1478977252928,3556.1598134215387,2237944.0,250000.0,3591.024057157451,0.0,12400000.0,0.0,5580.199523421771,4727.857486065857,4381.323014825141,5420.975325337712,3411500.0,51.58181511633423,0.0,178114.79323500957,0.0,80.15452292938448,67.91139988509777,62.93374539365877,77.86741122617865,49003.11428397057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615040000.0,0.0,276777.8963617199,234501.73130886653,217313.621535327,268880.3761367505,169210400.0,0.0,0.0,0.0,0.0,0.0,0.0,124.55450688478625,105.52955236220299,97.79462639713637,121.00049570772272,76147.40269661348,89.41054563419587,82.8570832580547,102.51839509470479,64516.343254854684,76.78396544094586,95.0041758228053,59787.533860303876,117.54789391168124,73974.62928955842,46553329.0
219,43.0,529398,400,443191,9798 Sky Ridge,21,3,1,0,1999,N,1993,6,16,2,2015,1,9,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.441316430887762,3.668426039486432,0,0,1,0,0,0,78961.0,281000.0,2058.0297512383836,1686000000.0,0.0,0.0,3092.4831512870624,2566.5324150008455,2566.5324150008455,2989.154562940646,2213437.0,1000000.0,7323.9492926632865,6000000000.0,0.0,0.0,11005.278118459297,9133.56731317027,9133.56731317027,10637.560722208704,7877000.0,53.640233241503054,43943695.75597972,0.0,0.0,80.60209889125271,66.89378386278591,66.89378386278591,77.90895532708319,57690.7485783087,36000000000000.0,0.0,0.0,66031668.71075578,54801403.879021615,54801403.879021615,63825364.33325222,47262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.11614646463899,100.51744849510783,100.51744849510783,117.06931424990552,86688.57573910388,83.42205186421238,83.42205186421238,97.15887690422934,71945.10972584221,83.42205186421238,97.15887690422934,71945.10972584221,113.15769811867736,83792.06580883796,62047129.0
220,44.0,940942,750,613647,5483 Francis Drive,18,1,1,2,2009,Y,2001,7,11,2,2015,2,22,6,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.408639651853736,11.02485561999279,0,0,1,0,0,0,60516.0,492000.0,1822.525354356019,0.0,0.0,-14415600.0,2712.1144825182264,2292.764486063306,2122.2723196939546,2633.7763675665424,1223604.0,4000000.0,14817.279303707473,0.0,0.0,-117200000.0,22049.71123998558,18640.36167531143,17254.246501576865,21412.815996475954,9948000.0,54.887941491019454,0.0,0.0,-434146.28359862894,81.67918250224109,69.04986131630349,63.91524739722049,79.31991882466986,36850.57362832048,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3433960000.0,-646056.5393315775,-546162.5970866248,-505549.42249620217,-627395.5086967454,-291476400.0,121.5474414416866,102.75364808737771,95.11278825582532,118.0366023893097,54837.63185384414,86.86577084660478,80.40634880609242,99.78565866530145,46358.579486499526,74.42725558429437,92.36550137402608,42911.31104942167,114.62717222473411,53253.67338323569,24740676.0
221,49.0,442677,750,460820,2005 Texas Hwy,17,1,2,2,2012,N,2008,11,22,5,2015,2,21,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.280704082413368,10.243560441877241,0,0,0,1,0,0,88804.0,149000.0,2169.6498165591834,0.0,14244400.0,0.0,3052.5810116794178,2366.5060801301465,2573.0109291746185,2946.2964231816554,680036.0,250000.0,3640.3520412066837,0.0,23900000.0,0.0,5121.780220938621,3970.647785453266,4317.132431501038,4943.450374465865,1141000.0,53.00865193567068,0.0,348017.655139359,0.0,74.58033232762371,57.818223082750386,62.8635274366975,71.98359864516303,16614.566716067304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284840000.0,0.0,489642.18912173214,379593.92828933225,412717.8604514992,472593.8557989367,109079600.0,0.0,0.0,0.0,0.0,0.0,0.0,104.93053052639226,81.34714116739309,88.44561399533868,101.27706540452354,23375.804928363865,63.0641753444997,68.56724931459227,78.51480112748402,18122.036492808707,74.55052972447224,85.36611974049013,19703.392417370735,97.7508064192268,22561.907509062206,5207524.0
